ID,Catégorie,Titre,Priorité,Impact (1-5),Effort estimé,Problème,Correction,Fichier(s) concerné(s)
A1,Technique & Performance,Google Fonts render-blocking,Critique,5,30 min,"Chargement synchrone de Google Fonts bloque le rendu — pénalise le LCP sur mobile pakistanais (300–800ms de délai)","Remplacer par rel=preload + onload pattern. Ou héberger la police localement.","Toutes les pages HTML"
A2,Technique & Performance,3 fichiers CSS séparés à concaténer,Haute,4,2h,"style.css + modern.css + theme-crimson.css = 3 requêtes HTTP bloquantes à chaque chargement","Créer un script de build qui concatène et minifie les 3 fichiers en un seul app.css","css/style.css, css/modern.css, css/theme-crimson.css"
A3,Technique & Performance,Cache navigateur non configuré,Haute,4,30 min,"Aucune directive cache dans .htaccess — tous les assets re-téléchargés à chaque visite","Ajouter directives mod_expires dans .htaccess (1 an pour images, 1 mois pour CSS/JS)",".htaccess"
A4,Technique & Performance,Compression GZIP non vérifiée,Haute,3,15 min,"Pas de directive GZIP dans .htaccess — fichiers HTML/CSS transférés non-compressés si OVH ne l'active pas par défaut","Ajouter mod_deflate dans .htaccess. Vérifier avec curl -I --compressed",".htaccess"
A5,Technique & Performance,Sitemap soumis en www mais canonical en apex,Critique,4,5 min,"Sitemap soumis depuis www.chef-knife.pk mais URLs canoniques en apex chef-knife.pk — confusion de signal pour Google","Ajouter https://chef-knife.pk/sitemap.xml (apex) dans Search Console","Google Search Console + sitemap.xml"
A6,Technique & Performance,Cormorant Garamond chargé mais inutilisé,Moyenne,2,10 min,"Police Cormorant Garamond chargée partout mais non utilisée après le thème Tranchant Rouge — 40–60KB inutiles","Supprimer Cormorant Garamond de l'URL Google Fonts sur toutes les pages","Toutes les pages HTML"
B1,On-Page & Titles,Homepage H1 trop générique sans Pakistan,Critique,5,5 min,"H1 actuel : 'Premium Chef Knife Set.' — ne contient pas 'Pakistan'. Mismatch avec le title qui cible Pakistan","Changer le H1 en : 'Chef Knife Set Pakistan — PKR 6700, Hand-forged in Sialkot.'","index.html"
B2,On-Page & Titles,knife chef — CTR 0% à position 3 : optimiser le title,Critique,5,15 min,"4910 impressions sur 3 mois pour 'knife chef' à position 3,2 → 0 clic. Title actuel insuffisant pour convertir les impressions","Modifier le title : 'Knife Chef Set Pakistan · PKR 6700 · Direct Usine Sialkot'. Activer Google Merchant Center (voir E1).","index.html, knife-chef-pakistan.html"
B3,On-Page & Titles,Pages ville manquant og:image width/height,Moyenne,2,30 min,"Balises og:image sans og:image:width ni og:image:height — WhatsApp peut ne pas afficher l'image en grand","Ajouter og:image:width=1594 og:image:height=728 et og:image:alt sur toutes les pages ville","chef-knife-lahore.html, chef-knife-karachi.html et autres pages ville"
B4,On-Page & Titles,Section seo-links — H2 concurrents et liens d'ancre,Haute,4,1h,"H2 'Gift guides' et 'Popular searches' concurrencent les H2 principaux. 12/16 liens pointent vers /#shop au lieu de pages dédiées","Remplacer les H2 par H3. Pointer chaque lien vers sa page dédiée (ex: /chef-knife-sialkot.html au lieu de /#shop)","index.html"
